datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-03","PGKL","D","IZ","II","BTF",35.714286,20148,2015,3,1
"2015-03","PGKL","D","AZ","II","TT",2.7,20148,2015,3,1
"2015-03","PGKL","D","AZ","II","BMF",.1,20148,2015,3,1
"2015-03","PGKL","D","AZ","II","BTF",37.037037,20148,2015,3,1
"2015-03","PGKL","EG","IZ","II","TT",74.2,20148,2015,3,1
"2015-03","PGKL","EG","IZ","II","BMF",.9,20148,2015,3,1
"2015-03","PGKL","EG","IZ","II","BTF",12.12938,20148,2015,3,1
"2015-03","DG","K","IZ","II","TT",2832.8,20148,2015,3,1
"2015-03","DG","K","IZ","II","BMF",396.7,20148,2015,3,1
"2015-03","DG","K","IZ","II","BTF",140.03812,20148,2015,3,1
"2015-03","DG","K","IZ","IA","TT",5534.3,20148,2015,3,1
"2015-03","DG","K","IZ","IA","BMF",739.7,20148,2015,3,1
"2015-03","DG","K","IZ","IA","BTF",133.65737,20148,2015,3,1
"2015-03","DG","K","AZ","II","TT",381.6,20148,2015,3,1
"2015-03","DG","K","AZ","II","BMF",111.3,20148,2015,3,1
"2015-03","DG","K","AZ","II","BTF",291.66667,20148,2015,3,1
"2015-03","DG","D","IZ","II","TT",398,20148,2015,3,1
"2015-03","DG","D","IZ","II","BMF",28.1,20148,2015,3,1
"2015-03","DG","D","IZ","II","BTF",70.603015,20148,2015,3,1
"2015-03","DG","D","IZ","IA","TT",2.4,20148,2015,3,1
"2015-03","DG","D","IZ","IA","BMF",.2,20148,2015,3,1
"2015-03","DG","D","IZ","IA","BTF",83.333333,20148,2015,3,1
"2015-03","DG","D","AZ","II","TT",12.9,20148,2015,3,1
"2015-03","DG","D","AZ","II","BMF",2.7,20148,2015,3,1
"2015-03","DG","D","AZ","II","BTF",209.30233,20148,2015,3,1
"2015-03","DG","EG","IZ","II","TT",115.3,20148,2015,3,1
"2015-03","DG","EG","IZ","II","BMF",10.1,20148,2015,3,1
"2015-03","DG","EG","IZ","II","BTF",87.597572,20148,2015,3,1
"2015-03","DG","EG","IZ","IA","TT",910.1,20148,2015,3,1
"2015-03","DG","EG","IZ","IA","BMF",56.9,20148,2015,3,1
"2015-03","DG","EG","IZ","IA","BTF",62.520602,20148,2015,3,1
"2015-03","BT","K","IZ","II","TT",343.7,20148,2015,3,1
"2015-03","BT","K","IZ","II","BMF",94.8,20148,2015,3,1
"2015-03","BT","K","IZ","II","BTF",275.82194,20148,2015,3,1
"2015-03","BT","K","IZ","IA","TT",222.4,20148,2015,3,1
"2015-03","BT","K","IZ","IA","BMF",58.6,20148,2015,3,1
"2015-03","BT","K","IZ","IA","BTF",263.48921,20148,2015,3,1
"2015-03","BT","K","AZ","II","TT",363.1,20148,2015,3,1
"2015-03","BT","K","AZ","II","BMF",76.8,20148,2015,3,1
"2015-03","BT","K","AZ","II","BTF",211.51198,20148,2015,3,1
"2015-03","BT","D","IZ","II","TT",10728.8,20148,2015,3,1
"2015-03","BT","D","IZ","II","BMF",2358.1,20148,2015,3,1
"2015-03","BT","D","IZ","II","BTF",219.79159,20148,2015,3,1
"2015-03","BT","D","IZ","IA","TT",904.3,20148,2015,3,1
"2015-03","BT","D","IZ","IA","BMF",211.8,20148,2015,3,1
