"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-01-09","Municipality: core","Retail: Fuel stations",595789.64,12386
"2019-01-09","Municipality: core","Retail: Other goods",2900504.8,24600
"2019-01-09","Municipality: core","Transport services",28628.57,663
"2019-01-09","Municipality: multiorientated","Accommodation",65892.47,444
"2019-01-09","Municipality: multiorientated","Food and beverage services",159505.65,3080
"2019-01-09","Municipality: multiorientated","Other",311097.89,2425
"2019-01-09","Municipality: multiorientated","Retail: Food, beverage, tobacco",1562332.09,31381
"2019-01-09","Municipality: multiorientated","Retail: Fuel stations",811921.26,15784
"2019-01-09","Municipality: multiorientated","Retail: Other goods",1632643.34,19751
"2019-01-09","Municipality: multiorientated","Transport services",7304.35,196
"2019-01-09","Municipality: rural","Accommodation",1372820.84,4435
"2019-01-09","Municipality: rural","Food and beverage services",428980.85,8380
"2019-01-09","Municipality: rural","Other",720348.06,4398
"2019-01-09","Municipality: rural","Retail: Food, beverage, tobacco",3275065.41,68028
"2019-01-09","Municipality: rural","Retail: Fuel stations",1467348.19,27016
"2019-01-09","Municipality: rural","Retail: Other goods",2966640.06,30800
"2019-01-09","Municipality: rural","Transport services",190427.09,2403
"2019-01-09","Principle core: city","Accommodation",2198728.63,25228
"2019-01-09","Principle core: city","Food and beverage services",5097471.34,170055
"2019-01-09","Principle core: city","Other",5644836.45,37136
"2019-01-09","Principle core: city","Retail: Food, beverage, tobacco",14338654.08,533036
"2019-01-09","Principle core: city","Retail: Fuel stations",2278582.06,53723
"2019-01-09","Principle core: city","Retail: Other goods",22049049.07,221203
"2019-01-09","Principle core: city","Transport services",770760.25,37432
"2019-01-09","Principle core: other","Accommodation",561862.27,8145
"2019-01-09","Principle core: other","Food and beverage services",1716458.77,62292
"2019-01-09","Principle core: other","Other",3071790.68,17867
"2019-01-09","Principle core: other","Retail: Food, beverage, tobacco",9037232.74,222668
"2019-01-09","Principle core: other","Retail: Fuel stations",2436703.42,54342
"2019-01-09","Principle core: other","Retail: Other goods",10022256.9,106226
"2019-01-09","Principle core: other","Transport services",341544.29,15234
"2019-01-09","Secondary core","Accommodation",131644.96,1272
"2019-01-09","Secondary core","Food and beverage services",416928.52,13414
"2019-01-09","Secondary core","Other",898049.86,6291
"2019-01-09","Secondary core","Retail: Food, beverage, tobacco",3004255.12,70759
"2019-01-09","Secondary core","Retail: Fuel stations",863963.970000001,18738
"2019-01-09","Secondary core","Retail: Other goods",3531218.3,39417
"2019-01-09","Secondary core","Transport services",16778.8,1495
"2019-01-10","9999","Accommodation",218,3
"2019-01-10","9999","Food and beverage services",8302.5,698
"2019-01-10","9999","Other",1455,1
"2019-01-10","9999","Retail: Food, beverage, tobacco",167.9,7
"2019-01-10","9999","Retail: Fuel stations",23694.25,548
"2019-01-10","9999","Retail: Other goods",1545.15,20
"2019-01-10","Commuting zone","Accommodation",238589.2,1393
"2019-01-10","Commuting zone","Food and beverage services",457096.25,9193
"2019-01-10","Commuting zone","Other",846314.15,4356
"2019-01-10","Commuting zone","Retail: Food, beverage, tobacco",3006947.19,65141
"2019-01-10","Commuting zone","Retail: Fuel stations",1570248.11,31142
"2019-01-10","Commuting zone","Retail: Other goods",2214259.1,28632
"2019-01-10","Commuting zone","Transport services",127303.58,1230
"2019-01-10","Municipality: core","Accommodation",1135296.47,2124
"2019-01-10","Municipality: core","Food and beverage services",442777.97,9542
"2019-01-10","Municipality: core","Other",505876.64,2802
"2019-01-10","Municipality: core","Retail: Food, beverage, tobacco",2543056.95,56395
"2019-01-10","Municipality: core","Retail: Fuel stations",619911.87,13017
"2019-01-10","Municipality: core","Retail: Other goods",2592833.76,24598
"2019-01-10","Municipality: core","Transport services",103904.45,1299
"2019-01-10","Municipality: multiorientated","Accommodation",80055.49,508
"2019-01-10","Municipality: multiorientated","Food and beverage services",191650.87,3464
"2019-01-10","Municipality: multiorientated","Other",384910.56,2419
"2019-01-10","Municipality: multiorientated","Retail: Food, beverage, tobacco",1605136.13,31792
"2019-01-10","Municipality: multiorientated","Retail: Fuel stations",836607.68,16421
"2019-01-10","Municipality: multiorientated","Retail: Other goods",1783574.23,20759
"2019-01-10","Municipality: multiorientated","Transport services",9215.1,220
"2019-01-10","Municipality: rural","Accommodation",1573385.13,5250
"2019-01-10","Municipality: rural","Food and beverage services",579949.11,11288
"2019-01-10","Municipality: rural","Other",702211.17,4182
"2019-01-10","Municipality: rural","Retail: Food, beverage, tobacco",3546655.09,71132
"2019-01-10","Municipality: rural","Retail: Fuel stations",1515167.03,28430
"2019-01-10","Municipality: rural","Retail: Other goods",3063037.06,32650
"2019-01-10","Municipality: rural","Transport services",508870.92,5431
"2019-01-10","Principle core: city","Accommodation",2661157.01,27712
"2019-01-10","Principle core: city","Food and beverage services",5795281.44,187547
"2019-01-10","Principle core: city","Other",5749390.42,37099
"2019-01-10","Principle core: city","Retail: Food, beverage, tobacco",14706805.8,545299
"2019-01-10","Principle core: city","Retail: Fuel stations",2376729.1,56429
"2019-01-10","Principle core: city","Retail: Other goods",22686721.22,228013
"2019-01-10","Principle core: city","Transport services",738297.57,38855
"2019-01-10","Principle core: other","Accommodation",642670.54,8473
"2019-01-10","Principle core: other","Food and beverage services",1865511.67,66387
"2019-01-10","Principle core: other","Other",2978678.31,16956
"2019-01-10","Principle core: other","Retail: Food, beverage, tobacco",9066887.69000001,220339
"2019-01-10","Principle core: other","Retail: Fuel stations",2493774.45,56074
"2019-01-10","Principle core: other","Retail: Other goods",9487683.5,98984
"2019-01-10","Principle core: other","Transport services",369504.98,16053
"2019-01-10","Secondary core","Accommodation",153958.2,1455
"2019-01-10","Secondary core","Food and beverage services",439857.46,13772
"2019-01-10","Secondary core","Other",880857.38,5741
"2019-01-10","Secondary core","Retail: Food, beverage, tobacco",2891780.21,68406
"2019-01-10","Secondary core","Retail: Fuel stations",893787.36,19267
"2019-01-10","Secondary core","Retail: Other goods",3241450.92,36557
"2019-01-10","Secondary core","Transport services",21618,1474
"2019-01-11","9999","Accommodation",389.5,5
"2019-01-11","9999","Food and beverage services",7323.9,627
"2019-01-11","9999","Retail: Food, beverage, tobacco",185.95,8
"2019-01-11","9999","Retail: Fuel stations",28460.02,618
"2019-01-11","9999","Retail: Other goods",1455.8,34
"2019-01-11","Commuting zone","Accommodation",302986.65,1631
"2019-01-11","Commuting zone","Food and beverage services",713011.97,11800
"2019-01-11","Commuting zone","Other",1085888,5339
"2019-01-11","Commuting zone","Retail: Food, beverage, tobacco",4778252.99,84718
"2019-01-11","Commuting zone","Retail: Fuel stations",1773959.19,35364
"2019-01-11","Commuting zone","Retail: Other goods",2735205.6,34508
"2019-01-11","Commuting zone","Transport services",113079.09,1384
"2019-01-11","Municipality: core","Accommodation",1247519.63,2710
"2019-01-11","Municipality: core","Food and beverage services",625390.14,12190
"2019-01-11","Municipality: core","Other",600133.83,3367
"2019-01-11","Municipality: core","Retail: Food, beverage, tobacco",4038318.31,73029
"2019-01-11","Municipality: core","Retail: Fuel stations",713993.970000001,14870
"2019-01-11","Municipality: core","Retail: Other goods",3263521.71,30925
"2019-01-11","Municipality: core","Transport services",169186.37,2038
"2019-01-11","Municipality: multiorientated","Accommodation",92067.94,603
"2019-01-11","Municipality: multiorientated","Food and beverage services",304864.95,4687
"2019-01-11","Municipality: multiorientated","Other",384363.73,3056
"2019-01-11","Municipality: multiorientated","Retail: Food, beverage, tobacco",2494345.55,41323
"2019-01-11","Municipality: multiorientated","Retail: Fuel stations",960742.77,18782
"2019-01-11","Municipality: multiorientated","Retail: Other goods",2091960.15,23611
"2019-01-11","Municipality: multiorientated","Transport services",17809.3,258
"2019-01-11","Municipality: rural","Accommodation",2142733.14,8236
"2019-01-11","Municipality: rural","Food and beverage services",1005485.63,16566
"2019-01-11","Municipality: rural","Other",824220.3,5498
"2019-01-11","Municipality: rural","Retail: Food, beverage, tobacco",5298438.66,91834
"2019-01-11","Municipality: rural","Retail: Fuel stations",1805513.95,33321
"2019-01-11","Municipality: rural","Retail: Other goods",4063187.28,40668
"2019-01-11","Municipality: rural","Transport services",925533.46,10671
"2019-01-11","Principle core: city","Accommodation",3158448.23,27558
"2019-01-11","Principle core: city","Food and beverage services",7592655.23999999,213877
"2019-01-11","Principle core: city","Other",6461382.77,44322
"2019-01-11","Principle core: city","Retail: Food, beverage, tobacco",20027320.83,607173
"2019-01-11","Principle core: city","Retail: Fuel stations",2809696.53,64377
"2019-01-11","Principle core: city","Retail: Other goods",26641629.33,256177
"2019-01-11","Principle core: city","Transport services",747862.28,40496
"2019-01-11","Principle core: other","Accommodation",713386,8235
"2019-01-11","Principle core: other","Food and beverage services",2447977.37,76017
"2019-01-11","Principle core: other","Other",3371398.72,20335
"2019-01-11","Principle core: other","Retail: Food, beverage, tobacco",14375601.43,278562
"2019-01-11","Principle core: other","Retail: Fuel stations",2900630.08,64475
"2019-01-11","Principle core: other","Retail: Other goods",11343494.46,119979
"2019-01-11","Principle core: other","Transport services",385785.7,17090
"2019-01-11","Secondary core","Accommodation",190833.28,1594
"2019-01-11","Secondary core","Food and beverage services",644998.56,17224
"2019-01-11","Secondary core","Other",1062889.69,7139
"2019-01-11","Secondary core","Retail: Food, beverage, tobacco",4876760.74,90920
"2019-01-11","Secondary core","Retail: Fuel stations",1050110.35,22423
"2019-01-11","Secondary core","Retail: Other goods",4237354.23,45979
"2019-01-11","Secondary core","Transport services",16688.35,1531
"2019-01-12","9999","Accommodation",1322,10
"2019-01-12","9999","Food and beverage services",3910.3,251
"2019-01-12","9999","Retail: Food, beverage, tobacco",220.55,5
"2019-01-12","9999","Retail: Fuel stations",27143.93,618
"2019-01-12","9999","Retail: Other goods",2633.3,51
"2019-01-12","Commuting zone","Accommodation",271471.87,1412
"2019-01-12","Commuting zone","Food and beverage services",826981.47,11593
"2019-01-12","Commuting zone","Other",504585.58,4025
"2019-01-12","Commuting zone","Retail: Food, beverage, tobacco",6127793.14,97369
"2019-01-12","Commuting zone","Retail: Fuel stations",1649575.98,32180
"2019-01-12","Commuting zone","Retail: Other goods",4116036.25,44423
"2019-01-12","Commuting zone","Transport services",279429.39,3524
"2019-01-12","Municipality: core","Accommodation",1360542.48,3449
"2019-01-12","Municipality: core","Food and beverage services",868942.94,14600
"2019-01-12","Municipality: core","Other",431715.4,2826
"2019-01-12","Municipality: core","Retail: Food, beverage, tobacco",4712705.54,79359
"2019-01-12","Municipality: core","Retail: Fuel stations",688098.35,14120
"2019-01-12","Municipality: core","Retail: Other goods",4476392.11,41302
"2019-01-12","Municipality: core","Transport services",272683.7,3713
"2019-01-12","Municipality: multiorientated","Accommodation",115600.37,648
"2019-01-12","Municipality: multiorientated","Food and beverage services",409442.35,5503
"2019-01-12","Municipality: multiorientated","Other",312824.35,3082
"2019-01-12","Municipality: multiorientated","Retail: Food, beverage, tobacco",3207734.31,48495
"2019-01-12","Municipality: multiorientated","Retail: Fuel stations",924768.75,17732
"2019-01-12","Municipality: multiorientated","Retail: Other goods",3290759.77,32092
"2019-01-12","Municipality: multiorientated","Transport services",68265.3,1226
"2019-01-12","Municipality: rural","Accommodation",2841541.91,13328
"2019-01-12","Municipality: rural","Food and beverage services",1624071.2,25173
"2019-01-12","Municipality: rural","Other",779981.81,6077
"2019-01-12","Municipality: rural","Retail: Food, beverage, tobacco",6421795.7,105200
"2019-01-12","Municipality: rural","Retail: Fuel stations",1719192.25,31884
"2019-01-12","Municipality: rural","Retail: Other goods",5327615.11,50974
"2019-01-12","Municipality: rural","Transport services",2109079.96,27063
"2019-01-12","Principle core: city","Accommodation",2289403.14,13510
"2019-01-12","Principle core: city","Food and beverage services",7424344.68,159013
"2019-01-12","Principle core: city","Other",5078388.62,43546
"2019-01-12","Principle core: city","Retail: Food, beverage, tobacco",25474171.13,573608
"2019-01-12","Principle core: city","Retail: Fuel stations",2572947.13,57874
"2019-01-12","Principle core: city","Retail: Other goods",38149508.31,343882
"2019-01-12","Principle core: city","Transport services",576694.31,39182
"2019-01-12","Principle core: other","Accommodation",462299.94,2864
"2019-01-12","Principle core: other","Food and beverage services",2239410.63,58620
