"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-17","Domestic","Professional services",3656181.84,30508
"2019-01-17","Domestic","Retail: Food, beverage, tobacco",38011991.12,1039036
"2019-01-17","Domestic","Retail: Fuel stations",9968684.32,217882
"2019-01-17","Domestic","Retail: Other goods",41406210.66,451288
"2019-01-17","Domestic","Transport services",3138550.17,163490
"2019-01-17","Foreign","Accommodation",4583793.17,14226
"2019-01-17","Foreign","Entertainment and sports",209722.82,1740
"2019-01-17","Foreign","Food and beverage services",1575566.08,38696
"2019-01-17","Foreign","Human health services",317656.99,642
"2019-01-17","Foreign","Other",397688.07,1043
"2019-01-17","Foreign","Personal services",113055.54,1220
"2019-01-17","Foreign","Professional services",1628669.47,7916
"2019-01-17","Foreign","Retail: Food, beverage, tobacco",1246685.94,40255
"2019-01-17","Foreign","Retail: Fuel stations",586543.150000001,13346
"2019-01-17","Foreign","Retail: Other goods",5949601.11000005,27940
"2019-01-17","Foreign","Transport services",1021499.82,21890
"2019-01-18","Domestic","Accommodation",4466459.55,41538
"2019-01-18","Domestic","Entertainment and sports",2365199.31,25051
"2019-01-18","Domestic","Food and beverage services",12871785.47,330727
"2019-01-18","Domestic","Human health services",2785419.6,11263
"2019-01-18","Domestic","Other",2201179.34,10687
"2019-01-18","Domestic","Personal services",2888573.66,28155
"2019-01-18","Domestic","Professional services",4055838.27,33824
"2019-01-18","Domestic","Retail: Food, beverage, tobacco",54272291.95,1220849
"2019-01-18","Domestic","Retail: Fuel stations",11668616.57,249662
"2019-01-18","Domestic","Retail: Other goods",47924904.72,507613
"2019-01-18","Domestic","Transport services",3954968.62,185808
"2019-01-18","Foreign","Accommodation",5150784.35999999,14459
"2019-01-18","Foreign","Entertainment and sports",251350.03,2057
"2019-01-18","Foreign","Food and beverage services",1612888.34,41311
"2019-01-18","Foreign","Human health services",328905.83,628
"2019-01-18","Foreign","Other",338079.43,1011
"2019-01-18","Foreign","Personal services",108291,1214
"2019-01-18","Foreign","Professional services",1860430.75,8192
"2019-01-18","Foreign","Retail: Food, beverage, tobacco",1409332.48,43998
"2019-01-18","Foreign","Retail: Fuel stations",682210.81,15350
"2019-01-18","Foreign","Retail: Other goods",8398934.28000006,30939
"2019-01-18","Foreign","Transport services",1357526.91,23947
"2019-01-19","Domestic","Accommodation",4859369.21,31674
"2019-01-19","Domestic","Entertainment and sports",2620893.16,35713
"2019-01-19","Domestic","Food and beverage services",13149565.08,264242
"2019-01-19","Domestic","Human health services",2216965.24,7262
"2019-01-19","Domestic","Other",907256.57,8052
"2019-01-19","Domestic","Personal services",2696753.25,26526
"2019-01-19","Domestic","Professional services",2557148.39,25037
"2019-01-19","Domestic","Retail: Food, beverage, tobacco",67638831.15,1248989
"2019-01-19","Domestic","Retail: Fuel stations",11156512.46,230291
"2019-01-19","Domestic","Retail: Other goods",70740235.7700001,678236
"2019-01-19","Domestic","Transport services",5653046.64,192776
"2019-01-19","Foreign","Accommodation",3579186.37,12694
"2019-01-19","Foreign","Entertainment and sports",220368.22,2779
"2019-01-19","Foreign","Food and beverage services",1854495.23,44158
"2019-01-19","Foreign","Human health services",125842.2,375
"2019-01-19","Foreign","Other",123073.85,529
"2019-01-19","Foreign","Personal services",123405.34,1320
"2019-01-19","Foreign","Professional services",856703.970000001,6082
"2019-01-19","Foreign","Retail: Food, beverage, tobacco",1625499.33,45011
"2019-01-19","Foreign","Retail: Fuel stations",645138.010000001,13809
"2019-01-19","Foreign","Retail: Other goods",7857518.48000004,40392
"2019-01-19","Foreign","Transport services",1447521.96,22645
"2019-01-20","Domestic","Accommodation",5593565.36,25924
"2019-01-20","Domestic","Entertainment and sports",2596000.37,34653
"2019-01-20","Domestic","Food and beverage services",7682562.91,165022
"2019-01-20","Domestic","Human health services",144951.8,1935
"2019-01-20","Domestic","Other",286338.44,4080
"2019-01-20","Domestic","Personal services",326348.14,3601
"2019-01-20","Domestic","Professional services",1300121.35,15624
"2019-01-20","Domestic","Retail: Food, beverage, tobacco",4100213.66,177209
"2019-01-20","Domestic","Retail: Fuel stations",9214217.47999999,214817
"2019-01-20","Domestic","Retail: Other goods",7005057.81,61764
"2019-01-20","Domestic","Transport services",4010110.13,125531
"2019-01-20","Foreign","Accommodation",3890492.14,12467
"2019-01-20","Foreign","Entertainment and sports",234528.35,2997
"2019-01-20","Foreign","Food and beverage services",1550292.07,38649
"2019-01-20","Foreign","Human health services",51107.69,266
"2019-01-20","Foreign","Other",133330.77,493
"2019-01-20","Foreign","Personal services",79103.43,1148
"2019-01-20","Foreign","Professional services",910873.22,5046
"2019-01-20","Foreign","Retail: Food, beverage, tobacco",481856.249999998,20232
"2019-01-20","Foreign","Retail: Fuel stations",610214.960000001,13807
"2019-01-20","Foreign","Retail: Other goods",2895330.94,19269
"2019-01-20","Foreign","Transport services",1420336.13,19072
"2019-01-21","Domestic","Accommodation",2608940.11,33456
"2019-01-21","Domestic","Entertainment and sports",2104146.41,16657
"2019-01-21","Domestic","Food and beverage services",6139015.16,227313
"2019-01-21","Domestic","Human health services",1731360.46,9351
"2019-01-21","Domestic","Other",1658432.39,9449
"2019-01-21","Domestic","Personal services",1146641.89,11970
"2019-01-21","Domestic","Professional services",4028205.87,35304
"2019-01-21","Domestic","Retail: Food, beverage, tobacco",37152533.97,1049012
"2019-01-21","Domestic","Retail: Fuel stations",9642172.42000001,208661
"2019-01-21","Domestic","Retail: Other goods",37710064.49,425674
"2019-01-21","Domestic","Transport services",3270560.57,143553
"2019-01-21","Foreign","Accommodation",3978762.24,11981
"2019-01-21","Foreign","Entertainment and sports",198547.05,1464
"2019-01-21","Foreign","Food and beverage services",1342591.03,38067
"2019-01-21","Foreign","Human health services",409724.39,644
"2019-01-21","Foreign","Other",501206.57,1211
"2019-01-21","Foreign","Personal services",94607.0099999999,966
"2019-01-21","Foreign","Professional services",2042012.52,8290
"2019-01-21","Foreign","Retail: Food, beverage, tobacco",1364350.29,45450
"2019-01-21","Foreign","Retail: Fuel stations",592505.52,13715
"2019-01-21","Foreign","Retail: Other goods",5269265.32000003,27568
"2019-01-21","Foreign","Transport services",1300338.62,21951
"2019-01-22","Domestic","Accommodation",2637330.26,35972
"2019-01-22","Domestic","Entertainment and sports",1912420.37,17522
"2019-01-22","Domestic","Food and beverage services",7877332.6,255493
"2019-01-22","Domestic","Human health services",2302807.64,10659
"2019-01-22","Domestic","Other",1737139.68,9223
"2019-01-22","Domestic","Personal services",2100366.5,20136
"2019-01-22","Domestic","Professional services",3571677.9,29694
"2019-01-22","Domestic","Retail: Food, beverage, tobacco",34884737.3,1001342
