"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-22","Domestic","Retail: Fuel stations",9592717.21,208611
"2019-01-22","Domestic","Retail: Other goods",37963812.41,414990
"2019-01-22","Domestic","Transport services",3265714.38,153459
"2019-01-22","Foreign","Accommodation",3908793.51,13428
"2019-01-22","Foreign","Entertainment and sports",206771.69,1794
"2019-01-22","Foreign","Food and beverage services",1588416.64999999,38899
"2019-01-22","Foreign","Human health services",281662.77,660
"2019-01-22","Foreign","Other",845567.03,1680
"2019-01-22","Foreign","Personal services",87117.4,1031
"2019-01-22","Foreign","Professional services",1601269.35,7624
"2019-01-22","Foreign","Retail: Food, beverage, tobacco",1175068.27,42181
"2019-01-22","Foreign","Retail: Fuel stations",577727.090000002,13338
"2019-01-22","Foreign","Retail: Other goods",5442491.27000001,25182
"2019-01-22","Foreign","Transport services",1023383.89,21348
"2019-01-23","Domestic","Accommodation",2865553.64,36284
"2019-01-23","Domestic","Entertainment and sports",2019713.45,20554
"2019-01-23","Domestic","Food and beverage services",8774005.68000001,270029
"2019-01-23","Domestic","Human health services",2464399.06,11008
"2019-01-23","Domestic","Other",1899084.29,9554
"2019-01-23","Domestic","Personal services",2257763.31,21926
"2019-01-23","Domestic","Professional services",3582972.2,30859
"2019-01-23","Domestic","Retail: Food, beverage, tobacco",36322666.27,1021037
"2019-01-23","Domestic","Retail: Fuel stations",10029922.37,216695
"2019-01-23","Domestic","Retail: Other goods",41658161.16,454488
"2019-01-23","Domestic","Transport services",3054461.88,158265
"2019-01-23","Foreign","Accommodation",4234769.55999999,14940
"2019-01-23","Foreign","Entertainment and sports",178127.88,1786
"2019-01-23","Foreign","Food and beverage services",1661650.73,41939
"2019-01-23","Foreign","Human health services",268569.81,680
"2019-01-23","Foreign","Other",777949.63,1857
"2019-01-23","Foreign","Personal services",93996.92,1088
"2019-01-23","Foreign","Professional services",1646612.9,7154
"2019-01-23","Foreign","Retail: Food, beverage, tobacco",1197781.46,43316
"2019-01-23","Foreign","Retail: Fuel stations",594761.87,13825
"2019-01-23","Foreign","Retail: Other goods",6004590.14000003,27456
"2019-01-23","Foreign","Transport services",1123046.69,21764
"2019-01-24","Domestic","Accommodation",3318186.65,38244
"2019-01-24","Domestic","Entertainment and sports",2005754.71,19990
"2019-01-24","Domestic","Food and beverage services",9751270.68,289547
"2019-01-24","Domestic","Human health services",2470776.84,10893
"2019-01-24","Domestic","Other",1949890.69,9177
"2019-01-24","Domestic","Personal services",2562259.6,23587
"2019-01-24","Domestic","Professional services",3573710,30302
"2019-01-24","Domestic","Retail: Food, beverage, tobacco",38584211.3,1042533
"2019-01-24","Domestic","Retail: Fuel stations",10350519.19,223618
"2019-01-24","Domestic","Retail: Other goods",42524643.95,462343
"2019-01-24","Domestic","Transport services",3253495,166687
"2019-01-24","Foreign","Accommodation",5273595,16449
"2019-01-24","Foreign","Entertainment and sports",181629.53,1695
"2019-01-24","Foreign","Food and beverage services",1731125.83,43804
"2019-01-24","Foreign","Human health services",418094.31,666
"2019-01-24","Foreign","Other",809448.44,1763
"2019-01-24","Foreign","Personal services",131239.05,1052
"2019-01-24","Foreign","Professional services",1777017.15,7598
"2019-01-24","Foreign","Retail: Food, beverage, tobacco",1278144.99,44442
"2019-01-24","Foreign","Retail: Fuel stations",615225.61,14061
"2019-01-24","Foreign","Retail: Other goods",6885289.69000004,29783
"2019-01-24","Foreign","Transport services",1397460.22,23899
"2019-01-25","Domestic","Accommodation",4640006.97,43214
"2019-01-25","Domestic","Entertainment and sports",2217576.58,25816
"2019-01-25","Domestic","Food and beverage services",13628304.92,349279
"2019-01-25","Domestic","Human health services",2838809.59,11927
"2019-01-25","Domestic","Other",3926041.19,12376
"2019-01-25","Domestic","Personal services",3213295.04,31322
"2019-01-25","Domestic","Professional services",4290132.65,34339
"2019-01-25","Domestic","Retail: Food, beverage, tobacco",57723776.79,1260307
"2019-01-25","Domestic","Retail: Fuel stations",13425887.59,276424
"2019-01-25","Domestic","Retail: Other goods",53706040.54,580014
"2019-01-25","Domestic","Transport services",3993903.18,188392
"2019-01-25","Foreign","Accommodation",5712520.64999999,17481
"2019-01-25","Foreign","Entertainment and sports",245828.21,2129
"2019-01-25","Foreign","Food and beverage services",2000519.15,46586
"2019-01-25","Foreign","Human health services",364440.99,662
"2019-01-25","Foreign","Other",391702.93,878
"2019-01-25","Foreign","Personal services",120339.99,1233
"2019-01-25","Foreign","Professional services",1741874.52,8176
"2019-01-25","Foreign","Retail: Food, beverage, tobacco",1451842.24,46041
"2019-01-25","Foreign","Retail: Fuel stations",723554.85,16024
"2019-01-25","Foreign","Retail: Other goods",6891285.12000002,35295
"2019-01-25","Foreign","Transport services",1569802.14,25914
"2019-01-26","Domestic","Accommodation",5392719.89,31742
"2019-01-26","Domestic","Entertainment and sports",2884250.38,41807
"2019-01-26","Domestic","Food and beverage services",14246114.72,284118
"2019-01-26","Domestic","Human health services",2257981.99,7830
"2019-01-26","Domestic","Other",1338208.31,8304
"2019-01-26","Domestic","Personal services",3033738.48,29518
"2019-01-26","Domestic","Professional services",3052536.6,26562
"2019-01-26","Domestic","Retail: Food, beverage, tobacco",73182438.04,1306414
"2019-01-26","Domestic","Retail: Fuel stations",12641899.04,253658
"2019-01-26","Domestic","Retail: Other goods",80194588.9200001,780443
"2019-01-26","Domestic","Transport services",5973616.85,186970
"2019-01-26","Foreign","Accommodation",4261872.99,14548
"2019-01-26","Foreign","Entertainment and sports",241941.78,3166
"2019-01-26","Foreign","Food and beverage services",2096945.82,48958
"2019-01-26","Foreign","Human health services",164939.56,453
"2019-01-26","Foreign","Other",87822.87,353
"2019-01-26","Foreign","Personal services",126377.37,1269
"2019-01-26","Foreign","Professional services",846849.5,6392
"2019-01-26","Foreign","Retail: Food, beverage, tobacco",1604051.92,46161
"2019-01-26","Foreign","Retail: Fuel stations",686517.330000001,14902
"2019-01-26","Foreign","Retail: Other goods",8479365.83000004,42887
"2019-01-26","Foreign","Transport services",1398917.68,22930
"2019-01-27","Domestic","Accommodation",5766069.46000001,26764
"2019-01-27","Domestic","Entertainment and sports",2750807.38,41508
"2019-01-27","Domestic","Food and beverage services",8321941.37,178337
"2019-01-27","Domestic","Human health services",166478.32,2231
"2019-01-27","Domestic","Other",327992.5,3936
"2019-01-27","Domestic","Personal services",493154.55,4422
"2019-01-27","Domestic","Professional services",1729856.23,17152
"2019-01-27","Domestic","Retail: Food, beverage, tobacco",4696893.75,191523
"2019-01-27","Domestic","Retail: Fuel stations",9857434.23,226401
"2019-01-27","Domestic","Retail: Other goods",7652468.85,67532
"2019-01-27","Domestic","Transport services",4556956.9,123879
"2019-01-27","Foreign","Accommodation",4306525.94999999,13260
"2019-01-27","Foreign","Entertainment and sports",314666.49,3331
"2019-01-27","Foreign","Food and beverage services",1587531.35,39697
"2019-01-27","Foreign","Human health services",87336.84,311
"2019-01-27","Foreign","Other",107143,398
"2019-01-27","Foreign","Personal services",70361.81,1020
"2019-01-27","Foreign","Professional services",850965.200000001,5224
"2019-01-27","Foreign","Retail: Food, beverage, tobacco",501283.510000001,20659
"2019-01-27","Foreign","Retail: Fuel stations",579015.34,13087
"2019-01-27","Foreign","Retail: Other goods",3251910.58,19553
"2019-01-27","Foreign","Transport services",1412009.41,18998
"2019-01-28","Domestic","Accommodation",2684870.64,33869
"2019-01-28","Domestic","Entertainment and sports",2481501,19875
"2019-01-28","Domestic","Food and beverage services",6604682.05,238514
"2019-01-28","Domestic","Human health services",1846302.7,9950
"2019-01-28","Domestic","Other",2381761.08,9645
"2019-01-28","Domestic","Personal services",1231963.49,12803
"2019-01-28","Domestic","Professional services",4834259.99,41347
"2019-01-28","Domestic","Retail: Food, beverage, tobacco",38490239.11,1070726
"2019-01-28","Domestic","Retail: Fuel stations",10246380.43,219315
"2019-01-28","Domestic","Retail: Other goods",42663960.7,476979
"2019-01-28","Domestic","Transport services",3553765.39,149078
"2019-01-28","Foreign","Accommodation",3758799.68,11352
"2019-01-28","Foreign","Entertainment and sports",884428.81,6067
"2019-01-28","Foreign","Food and beverage services",1375148.24,37659
"2019-01-28","Foreign","Human health services",244077.32,609
"2019-01-28","Foreign","Other",358649.69,1047
"2019-01-28","Foreign","Personal services",67594.28,917
"2019-01-28","Foreign","Professional services",1799959.86,8905
"2019-01-28","Foreign","Retail: Food, beverage, tobacco",1208961.49,41351
"2019-01-28","Foreign","Retail: Fuel stations",583981.940000001,13262
"2019-01-28","Foreign","Retail: Other goods",5848579.06000002,27981
"2019-01-28","Foreign","Transport services",1226924.47,20718
"2019-01-29","Domestic","Accommodation",2798961.86,36487
"2019-01-29","Domestic","Entertainment and sports",2312846.63,20502
"2019-01-29","Domestic","Food and beverage services",8506956.86,269792
"2019-01-29","Domestic","Human health services",2409135.41,11177
"2019-01-29","Domestic","Other",2261794.4,9987
"2019-01-29","Domestic","Personal services",2223802.1,21196
"2019-01-29","Domestic","Professional services",4073284.37,31676
"2019-01-29","Domestic","Retail: Food, beverage, tobacco",36297825.32,1030855
"2019-01-29","Domestic","Retail: Fuel stations",10516250.31,227506
"2019-01-29","Domestic","Retail: Other goods",41509300.96,461715
"2019-01-29","Domestic","Transport services",3754234.04,163755
"2019-01-29","Foreign","Accommodation",3589524.06,12535
"2019-01-29","Foreign","Entertainment and sports",323200.71,2377
"2019-01-29","Foreign","Food and beverage services",1461504.79,37800
"2019-01-29","Foreign","Human health services",307091,647
"2019-01-29","Foreign","Other",412319.88,1039
"2019-01-29","Foreign","Personal services",90813.3,1065
"2019-01-29","Foreign","Professional services",2043323.68,8034
"2019-01-29","Foreign","Retail: Food, beverage, tobacco",1067785.66,37884
"2019-01-29","Foreign","Retail: Fuel stations",574133.410000001,12989
"2019-01-29","Foreign","Retail: Other goods",5612853.15000001,25260
"2019-01-29","Foreign","Transport services",1025707.19,21081
"2019-01-30","Domestic","Accommodation",3191335.35,36999
"2019-01-30","Domestic","Entertainment and sports",2456594.3,23800
"2019-01-30","Domestic","Food and beverage services",9323128.63,283690
"2019-01-30","Domestic","Human health services",2559608.06,11436
"2019-01-30","Domestic","Other",2230295.92,10366
"2019-01-30","Domestic","Personal services",2348256.58,22637
"2019-01-30","Domestic","Professional services",4322143.96,34498
"2019-01-30","Domestic","Retail: Food, beverage, tobacco",38651012.1,1065825
"2019-01-30","Domestic","Retail: Fuel stations",10798172.18,232129
"2019-01-30","Domestic","Retail: Other goods",44909408.26,484741
"2019-01-30","Domestic","Transport services",3355335.44,162053
"2019-01-30","Foreign","Accommodation",4163939.65,13962
"2019-01-30","Foreign","Entertainment and sports",349746.95,2732
"2019-01-30","Foreign","Food and beverage services",1559064.29,39699
"2019-01-30","Foreign","Human health services",409965.74,647
"2019-01-30","Foreign","Other",357794.19,999
"2019-01-30","Foreign","Personal services",103597.21,1039
"2019-01-30","Foreign","Professional services",2027712.58,8297
"2019-01-30","Foreign","Retail: Food, beverage, tobacco",1123069.35,39236
"2019-01-30","Foreign","Retail: Fuel stations",577658.32,13084
"2019-01-30","Foreign","Retail: Other goods",5995852.50000003,25812
"2019-01-30","Foreign","Transport services",1061146.25,20667
"2019-01-31","Domestic","Accommodation",3746257.18,39715
"2019-01-31","Domestic","Entertainment and sports",2400260.31,22147
"2019-01-31","Domestic","Food and beverage services",10520502.82,303368
"2019-01-31","Domestic","Human health services",2449913.85,11240
"2019-01-31","Domestic","Other",2444267.39,10627
"2019-01-31","Domestic","Personal services",2565122.11,24179
"2019-01-31","Domestic","Professional services",3828721.2,32322
"2019-01-31","Domestic","Retail: Food, beverage, tobacco",41731646.02,1089777
"2019-01-31","Domestic","Retail: Fuel stations",11724684.2,248827
"2019-01-31","Domestic","Retail: Other goods",45669190.96,483788
"2019-01-31","Domestic","Transport services",3965074.05,180062
"2019-01-31","Foreign","Accommodation",4842236.06,15096
"2019-01-31","Foreign","Entertainment and sports",374316.37,2786
"2019-01-31","Foreign","Food and beverage services",1637811.17,42185
"2019-01-31","Foreign","Human health services",233693.6,652
"2019-01-31","Foreign","Other",445135.98,1105
"2019-01-31","Foreign","Personal services",122378.09,1127
"2019-01-31","Foreign","Professional services",2272387.73,9338
"2019-01-31","Foreign","Retail: Food, beverage, tobacco",1217815.86,41277
"2019-01-31","Foreign","Retail: Fuel stations",650488.34,14584
"2019-01-31","Foreign","Retail: Other goods",6379398.58000004,28218
"2019-01-31","Foreign","Transport services",1237578.34,23608
"2019-02-01","Domestic","Accommodation",5641833.34,42016
"2019-02-01","Domestic","Entertainment and sports",2874414.59,32223
"2019-02-01","Domestic","Food and beverage services",13167399.01,337270
"2019-02-01","Domestic","Human health services",2539418.02,11102
"2019-02-01","Domestic","Other",2478283.75,11473
"2019-02-01","Domestic","Personal services",3170140.64,29100
"2019-02-01","Domestic","Professional services",4531987.19,40659
"2019-02-01","Domestic","Retail: Food, beverage, tobacco",55731791.64,1238208
"2019-02-01","Domestic","Retail: Fuel stations",12163355.07,260421
"2019-02-01","Domestic","Retail: Other goods",48930043.2600001,518303
"2019-02-01","Domestic","Transport services",3794817.9,186792
"2019-02-01","Foreign","Accommodation",5856428.82,16568
"2019-02-01","Foreign","Entertainment and sports",342181.9,2922
"2019-02-01","Foreign","Food and beverage services",1755794.43999999,43478
"2019-02-01","Foreign","Human health services",214119.16,614
"2019-02-01","Foreign","Other",395955.57,804
"2019-02-01","Foreign","Personal services",134422.21,1241
"2019-02-01","Foreign","Professional services",2158459.2,10209
"2019-02-01","Foreign","Retail: Food, beverage, tobacco",1472511.67,44000
"2019-02-01","Foreign","Retail: Fuel stations",628517.43,14180
"2019-02-01","Foreign","Retail: Other goods",6875837.44000003,30999
"2019-02-01","Foreign","Transport services",1262475.17,23493
"2019-02-02","Domestic","Accommodation",6142563.78,30881
"2019-02-02","Domestic","Entertainment and sports",2964999.55,43618
"2019-02-02","Domestic","Food and beverage services",13912608.23,278208
"2019-02-02","Domestic","Human health services",2170441.24,7588
"2019-02-02","Domestic","Other",1157576.57,8702
