"Date","Region","Canton","Amount CHF","Number of transactions"
"2019-01-14","Eastern","SH",762987.07,15783
"2019-01-14","Eastern","TG",2230199.04,42128
"2019-01-14","Espace Mittelland","BE",11701530.94,232928
"2019-01-14","Espace Mittelland","FR",3097794.56,57073
"2019-01-14","Espace Mittelland","JU",603559.93,10836
"2019-01-14","Espace Mittelland","NE",1881152.81,38455
"2019-01-14","Espace Mittelland","SO",2036923.44,43008
"2019-01-14","Lake Geneva","GE",10769693.81,194548
"2019-01-14","Lake Geneva","VD",11696734.88,222562
"2019-01-14","Lake Geneva","VS",5384187.62,77847
"2019-01-14","Northwestern","AG",6524235.01,128724
"2019-01-14","Northwestern","BL",2527185.63,49962
"2019-01-14","Northwestern","BS",2854523.71,71657
"2019-01-14","Ticino","TI",3765096.61,61409
"2019-01-14","Zurich","ZH",23209687.92,560041
"2019-01-15","9999","9999",28308.62,1112
"2019-01-15","Central","LU",6618945.91,96670
"2019-01-15","Central","NW",534582.77,8233
"2019-01-15","Central","OW",417805.89,6187
"2019-01-15","Central","SZ",1898433.65,29551
"2019-01-15","Central","UR",361497.76,5000
"2019-01-15","Central","ZG",2185438.8,40817
"2019-01-15","Eastern","AI",106100.45,1366
"2019-01-15","Eastern","AR",308772.62,5032
"2019-01-15","Eastern","GL",335286.15,6037
"2019-01-15","Eastern","GR",3793878.49,47811
"2019-01-15","Eastern","SG",5649615.59,100881
"2019-01-15","Eastern","SH",882942.33,16428
"2019-01-15","Eastern","TG",2362026.73,42409
"2019-01-15","Espace Mittelland","BE",12748690.04,241777
"2019-01-15","Espace Mittelland","FR",3140481.4,55740
"2019-01-15","Espace Mittelland","JU",608526.48,11053
"2019-01-15","Espace Mittelland","NE",2087444.23,39787
"2019-01-15","Espace Mittelland","SO",2368569.36,45592
"2019-01-15","Lake Geneva","GE",10876809.49,192819
"2019-01-15","Lake Geneva","VD",11758107.2,222684
"2019-01-15","Lake Geneva","VS",5448593.95,80213
"2019-01-15","Northwestern","AG",7264281.14,134220
"2019-01-15","Northwestern","BL",2541860.32,49847
"2019-01-15","Northwestern","BS",3055601.92,73050
"2019-01-15","Ticino","TI",3828104.05,61044
"2019-01-15","Zurich","ZH",23933304.09,565348
"2019-01-16","9999","9999",34578.66,1279
"2019-01-16","Central","LU",6103769.69,101934
"2019-01-16","Central","NW",554640.23,8488
"2019-01-16","Central","OW",456037.64,7058
"2019-01-16","Central","SZ",2087476.43,32130
"2019-01-16","Central","UR",405379.91,5815
"2019-01-16","Central","ZG",2229270.04,41828
"2019-01-16","Eastern","AI",118644.35,1489
"2019-01-16","Eastern","AR",346773.35,5220
"2019-01-16","Eastern","GL",367233.32,6639
"2019-01-16","Eastern","GR",4212288.74,54658
"2019-01-16","Eastern","SG",6023042.75,105000
"2019-01-16","Eastern","SH",883521.04,16925
"2019-01-16","Eastern","TG",2419517.11,43546
"2019-01-16","Espace Mittelland","BE",13218368.03,243403
"2019-01-16","Espace Mittelland","FR",3301764.05,59463
"2019-01-16","Espace Mittelland","JU",678054.32,11848
"2019-01-16","Espace Mittelland","NE",2151011.48,41280
"2019-01-16","Espace Mittelland","SO",2371412.46,46033
"2019-01-16","Lake Geneva","GE",11148647.16,201540
"2019-01-16","Lake Geneva","VD",12639663.75,235850
"2019-01-16","Lake Geneva","VS",5655966.41,84231
"2019-01-16","Northwestern","AG",7309365.38,135614
"2019-01-16","Northwestern","BL",2660786.54,51746
"2019-01-16","Northwestern","BS",3168678.25,74071
"2019-01-16","Ticino","TI",3918364.63,63332
"2019-01-16","Zurich","ZH",25168290.93,578390
"2019-01-17","9999","9999",33070.13,1216
"2019-01-17","Central","LU",6306838.97,102872
"2019-01-17","Central","NW",565573.01,8493
"2019-01-17","Central","OW",453198.7,6174
"2019-01-17","Central","SZ",1986166.25,30037
"2019-01-17","Central","UR",427719.33,5221
"2019-01-17","Central","ZG",2322433.97,42905
"2019-01-17","Eastern","AI",122055.26,1425
"2019-01-17","Eastern","AR",337245.22,5118
