"Date","Payment method","Merchant category","Amount CHF","Number of transactions"
"2019-01-14","Debit","Transport services",659550.25,30357
"2019-01-14","Mobile","Accommodation",2851.75,181
"2019-01-14","Mobile","Food and beverage services",34807.38,2231
"2019-01-14","Mobile","Other",30645.79,394
"2019-01-14","Mobile","Professional services",26668.75,363
"2019-01-14","Mobile","Retail: Food, beverage, tobacco",83722.77,3219
"2019-01-14","Mobile","Retail: Fuel stations",4562.48,157
"2019-01-14","Mobile","Retail: Other goods",410776.47,1526
"2019-01-14","Mobile","Transport services",14636.58,428
"2019-01-15","Credit","Accommodation",5282739.93,27784
"2019-01-15","Credit","Food and beverage services",4570486.98,108312
"2019-01-15","Credit","Other",4279830.38,25403
"2019-01-15","Credit","Professional services",4062198.75,26559
"2019-01-15","Credit","Retail: Food, beverage, tobacco",8975379.05000002,243417
"2019-01-15","Credit","Retail: Fuel stations",2768682.45,54202
"2019-01-15","Credit","Retail: Other goods",20113389.2799999,131293
"2019-01-15","Credit","Transport services",3473812.03,137641
"2019-01-15","Debit","Accommodation",842908.99,18854
"2019-01-15","Debit","Food and beverage services",4502033.66000001,179917
"2019-01-15","Debit","Other",5460119.26,37775
"2019-01-15","Debit","Professional services",1662927.92,13757
"2019-01-15","Debit","Retail: Food, beverage, tobacco",28138343.26,820806
"2019-01-15","Debit","Retail: Fuel stations",7450618.43,169923
"2019-01-15","Debit","Retail: Other goods",25243975.2099999,319290
"2019-01-15","Debit","Transport services",905314.38,35928
"2019-01-15","Mobile","Accommodation",3849.7,206
"2019-01-15","Mobile","Food and beverage services",39641.46,2393
"2019-01-15","Mobile","Other",33888.95,413
"2019-01-15","Mobile","Professional services",20817.35,320
"2019-01-15","Mobile","Retail: Food, beverage, tobacco",78819.8,3097
"2019-01-15","Mobile","Retail: Fuel stations",5303.44,166
"2019-01-15","Mobile","Retail: Other goods",754094.62,1652
"2019-01-15","Mobile","Transport services",11834.21,450
"2019-01-16","Credit","Accommodation",5422202.8,29527
"2019-01-16","Credit","Food and beverage services",5157603.16000001,116236
"2019-01-16","Credit","Other",4292809.84,26502
"2019-01-16","Credit","Professional services",3933878.91,25104
"2019-01-16","Credit","Retail: Food, beverage, tobacco",8872585.73,243311
"2019-01-16","Credit","Retail: Fuel stations",2950344.77999999,57288
"2019-01-16","Credit","Retail: Other goods",19719714.9799999,136516
"2019-01-16","Credit","Transport services",3580222.77000001,144303
"2019-01-16","Debit","Accommodation",972457.79,19871
"2019-01-16","Debit","Food and beverage services",5078728.17,192746
"2019-01-16","Debit","Other",5552649.28,40204
"2019-01-16","Debit","Professional services",1748812.92,14654
"2019-01-16","Debit","Retail: Food, beverage, tobacco",27926014.9,821162
"2019-01-16","Debit","Retail: Fuel stations",7822079.37,177223
"2019-01-16","Debit","Retail: Other goods",27146041.86,343815
"2019-01-16","Debit","Transport services",1108362.45,40963
"2019-01-16","Mobile","Accommodation",6647.3,218
"2019-01-16","Mobile","Food and beverage services",37314.11,2250
"2019-01-16","Mobile","Other",36881.3,456
"2019-01-16","Mobile","Professional services",22499.7,327
"2019-01-16","Mobile","Retail: Food, beverage, tobacco",80680.41,3106
"2019-01-16","Mobile","Retail: Fuel stations",4767.19,183
"2019-01-16","Mobile","Retail: Other goods",901391.57,1761
"2019-01-16","Mobile","Transport services",14710.82,550
"2019-01-17","Credit","Accommodation",6659483.77,31745
"2019-01-17","Credit","Food and beverage services",5539233.25,120273
"2019-01-17","Credit","Other",4501074.21,27235
"2019-01-17","Credit","Professional services",3640318.21,24512
"2019-01-17","Credit","Retail: Food, beverage, tobacco",9774800.86999999,250058
"2019-01-17","Credit","Retail: Fuel stations",2934330.73,56780
"2019-01-17","Credit","Retail: Other goods",20016231.7299998,142890
"2019-01-17","Credit","Transport services",3401975.95,148608
"2019-01-17","Debit","Accommodation",1129347.04,20642
"2019-01-17","Debit","Food and beverage services",5470135.35000001,200897
"2019-01-17","Debit","Other",5674209.3,40139
"2019-01-17","Debit","Professional services",1625591.25,13609
"2019-01-17","Debit","Retail: Food, beverage, tobacco",29398749.24,826045
"2019-01-17","Debit","Retail: Fuel stations",7615665.15000001,174260
"2019-01-17","Debit","Retail: Other goods",26656744.78,334648
"2019-01-17","Debit","Transport services",747064.83,36298
"2019-01-17","Mobile","Accommodation",3703.15,205
"2019-01-17","Mobile","Food and beverage services",45775.73,2447
"2019-01-17","Mobile","Other",36627.3,454
"2019-01-17","Mobile","Professional services",18941.85,303
"2019-01-17","Mobile","Retail: Food, beverage, tobacco",85126.95,3188
"2019-01-17","Mobile","Retail: Fuel stations",5231.59,188
"2019-01-17","Mobile","Retail: Other goods",682835.26,1690
"2019-01-17","Mobile","Transport services",11009.21,474
"2019-01-18","Credit","Accommodation",7934834.1,32935
"2019-01-18","Credit","Food and beverage services",6904088.73000002,133538
"2019-01-18","Credit","Other",4733834.14,30226
"2019-01-18","Credit","Professional services",4020311.97,26285
"2019-01-18","Credit","Retail: Food, beverage, tobacco",13462077.87,291787
"2019-01-18","Credit","Retail: Fuel stations",3479890.19,66387
"2019-01-18","Credit","Retail: Other goods",24483870.5699998,151829
"2019-01-18","Credit","Transport services",4140180.76,166389
"2019-01-18","Debit","Accommodation",1674252.79,22840
"2019-01-18","Debit","Food and beverage services",7530633.48000001,236164
"2019-01-18","Debit","Other",6496141.61,49364
"2019-01-18","Debit","Professional services",1874667.75,15450
"2019-01-18","Debit","Retail: Food, beverage, tobacco",42096571.6,969636
"2019-01-18","Debit","Retail: Fuel stations",8865190.29,198460
"2019-01-18","Debit","Retail: Other goods",31400345.59,385296
"2019-01-18","Debit","Transport services",1151310.82,42758
"2019-01-18","Mobile","Accommodation",8157.02,222
"2019-01-18","Mobile","Food and beverage services",49951.6,2336
"2019-01-18","Mobile","Other",37022.45,476
"2019-01-18","Mobile","Professional services",21289.3,281
"2019-01-18","Mobile","Retail: Food, beverage, tobacco",122974.96,3424
"2019-01-18","Mobile","Retail: Fuel stations",5746.9,165
"2019-01-18","Mobile","Retail: Other goods",439622.84,1427
"2019-01-18","Mobile","Transport services",21003.95,608
"2019-01-19","Credit","Accommodation",6298132.96999999,25409
"2019-01-19","Credit","Food and beverage services",7001549.88999999,113057
"2019-01-19","Credit","Other",3887207.3,31866
"2019-01-19","Credit","Professional services",2262174.53,19466
"2019-01-19","Credit","Retail: Food, beverage, tobacco",16674318.86,305438
"2019-01-19","Credit","Retail: Fuel stations",3284054.44,61573
"2019-01-19","Credit","Retail: Other goods",32005896.2699998,201312
"2019-01-19","Credit","Transport services",4280679.25,151651
"2019-01-19","Debit","Accommodation",2133780.41,18862
"2019-01-19","Debit","Food and beverage services",7971396.13,194509
"2019-01-19","Debit","Other",5117698.49,50191
"2019-01-19","Debit","Professional services",1139159.13,11448
"2019-01-19","Debit","Retail: Food, beverage, tobacco",52434788.49,985483
"2019-01-19","Debit","Retail: Fuel stations",8511645.64,182371
"2019-01-19","Debit","Retail: Other goods",46129344.08,515665
"2019-01-19","Debit","Transport services",2793771.92,63047
"2019-01-19","Mobile","Accommodation",6642.2,97
"2019-01-19","Mobile","Food and beverage services",31114.29,834
"2019-01-19","Mobile","Other",29652.04,499
"2019-01-19","Mobile","Professional services",12518.7,205
"2019-01-19","Mobile","Retail: Food, beverage, tobacco",155223.13,3079
"2019-01-19","Mobile","Retail: Fuel stations",5950.39,156
"2019-01-19","Mobile","Retail: Other goods",462513.9,1651
"2019-01-19","Mobile","Transport services",26117.43,723
"2019-01-20","Credit","Accommodation",7070406.3,23013
