"Date","Cardholder origin","Cardholder origin detail","Scaled Value","Scaled Number of Transactions"
"2021-08-13","Domestic","CHE",76.9934069667282,132.957764286748
"2021-08-13","Foreign","AUT",0.137412655736208,0.210216701640472
"2021-08-13","Foreign","CHN",0.378967770191979,0.0544490147175483
"2021-08-13","Foreign","DEU",1.62261466274262,2.08826586345873
"2021-08-13","Foreign","FRA",1.21869241796416,2.23543454868157
"2021-08-13","Foreign","GBR",0.442870919588388,0.62993635379216
"2021-08-13","Foreign","ITA",0.485508627568923,0.753517263600528
"2021-08-13","Foreign","LIE",0.183218311494811,0.221840648602645
"2021-08-13","Foreign","NLD",0.579457259557155,0.941369763190971
"2021-08-13","Foreign","RUS",0.124039391619911,0.0770851219596751
"2021-08-13","Foreign","RoW",3.25638762522032,2.72326645145371
"2021-08-13","Foreign","USA",0.695243553761729,0.609067630298668
"2021-08-14","Domestic","CHE",79.8252988667422,131.427040019686
"2021-08-14","Foreign","AUT",0.139702224241828,0.206851874888264
"2021-08-14","Foreign","CHN",0.242172330342552,0.0544830028665605
"2021-08-14","Foreign","DEU",1.72958013824002,2.32444951094452
"2021-08-14","Foreign","FRA",1.188505484762,2.02491195369998
"2021-08-14","Foreign","GBR",0.420653606925753,0.622153067668365
"2021-08-14","Foreign","ITA",0.492541230330994,0.768404072867872
"2021-08-14","Foreign","LIE",0.202802440434798,0.235197991164441
"2021-08-14","Foreign","NLD",0.567861504983351,0.986913882867322
"2021-08-14","Foreign","RUS",0.16415746483539,0.0735843426114182
"2021-08-14","Foreign","RoW",2.70507817167867,2.67558107838959
"2021-08-14","Foreign","USA",0.60776723585242,0.625279977377488
"2021-08-15","Domestic","CHE",25.1754478245614,52.7901211405607
"2021-08-15","Foreign","AUT",0.108185237854658,0.153286552045033
"2021-08-15","Foreign","CHN",0.146041883094566,0.0346339238434343
"2021-08-15","Foreign","DEU",1.25214234078466,1.59254871011576
"2021-08-15","Foreign","FRA",0.730941237642989,1.36129334423673
"2021-08-15","Foreign","GBR",0.276379086962136,0.43749545408507
"2021-08-15","Foreign","ITA",0.326786177558043,0.54306264491697
"2021-08-15","Foreign","LIE",0.0345989344184556,0.0678743335773682
"2021-08-15","Foreign","NLD",0.405119544836756,0.661681284969557
"2021-08-15","Foreign","RUS",0.0607798755908968,0.0479572782562176
"2021-08-15","Foreign","RoW",1.89469173778256,1.89446543779115
"2021-08-15","Foreign","USA",0.473268859773644,0.466011511106307
"2021-08-16","Domestic","CHE",61.995140139076,114.911008829441
"2021-08-16","Foreign","AUT",0.141106705330277,0.194650129392883
"2021-08-16","Foreign","CHN",0.377375570699916,0.0521038324357063
"2021-08-16","Foreign","DEU",1.47399071175323,1.91111963080713
"2021-08-16","Foreign","FRA",1.22056288993955,2.15178971396254
"2021-08-16","Foreign","GBR",0.438034860242697,0.589116586828505
"2021-08-16","Foreign","ITA",0.511713331159445,0.785160230330888
"2021-08-16","Foreign","LIE",0.143438179181297,0.188362321825626
"2021-08-16","Foreign","NLD",0.491463866261258,0.835734596061045
"2021-08-16","Foreign","RUS",0.135097950288982,0.0756576197011626
"2021-08-16","Foreign","RoW",3.20068417828695,2.5530538012006
"2021-08-16","Foreign","USA",0.69983092225003,0.577560616164356
"2021-08-17","Domestic","CHE",61.6460066682718,115.409580987301
"2021-08-17","Foreign","AUT",0.133129096107026,0.192406911558078
"2021-08-17","Foreign","CHN",0.367468999805088,0.0541431213764385
"2021-08-17","Foreign","DEU",1.37473640329651,1.76935506127723
"2021-08-17","Foreign","FRA",1.12874212218373,2.04618853498162
"2021-08-17","Foreign","GBR",0.43207391982315,0.578478296187685
"2021-08-17","Foreign","ITA",0.500727825870285,0.78301897694312
"2021-08-17","Foreign","LIE",0.129660186417423,0.174631109624696
"2021-08-17","Foreign","NLD",0.447664020178914,0.729895500037047
"2021-08-17","Foreign","RUS",0.119707645346944,0.0711032077335275
"2021-08-17","Foreign","RoW",3.06444129297833,2.43582867525751
"2021-08-17","Foreign","USA",0.659994450136099,0.562605830598987
"2021-08-18","Domestic","CHE",63.4151335282836,119.332731063333
"2021-08-18","Foreign","AUT",0.145384672880847,0.201991569579519
"2021-08-18","Foreign","CHN",0.453943035523675,0.0524777020748405
"2021-08-18","Foreign","DEU",1.37194306212913,1.85007691518121
"2021-08-18","Foreign","FRA",1.12155210319193,2.08656645600812
"2021-08-18","Foreign","GBR",0.417205107539881,0.596967849250323
"2021-08-18","Foreign","ITA",0.519285455942983,0.807116574592771
"2021-08-18","Foreign","LIE",0.136950635695005,0.186323032884894
"2021-08-18","Foreign","NLD",0.442337036637791,0.729215737056803
"2021-08-18","Foreign","RUS",0.118135875738719,0.0781727427280656
"2021-08-18","Foreign","RoW",2.91236659872278,2.50356705623883
"2021-08-18","Foreign","USA",0.67168736120176,0.568961614464269
"2021-08-19","Domestic","CHE",64.4315218821972,120.57153111853
"2021-08-19","Foreign","AUT",0.144874615004674,0.205220443735678
"2021-08-19","Foreign","CHN",0.401719635444877,0.0506423420281816
"2021-08-19","Foreign","DEU",1.43342388597717,1.93042489944606
"2021-08-19","Foreign","FRA",1.18940349504992,2.13408188832718
"2021-08-19","Foreign","GBR",0.412300263277646,0.611786682219644
"2021-08-19","Foreign","ITA",0.537213863607174,0.815205754057675
"2021-08-19","Foreign","LIE",0.144266527363864,0.184181779497125
"2021-08-19","Foreign","NLD",0.444171958970575,0.735333603878999
"2021-08-19","Foreign","RUS",0.117569027719663,0.0802120316687977
"2021-08-19","Foreign","RoW",3.07339923509215,2.61402854052849
"2021-08-19","Foreign","USA",0.72423956218849,0.569777330040561
"2021-08-20","Domestic","CHE",77.0092457501093,134.901988374694
"2021-08-20","Foreign","AUT",0.149748017530791,0.217626118125132
"2021-08-20","Foreign","CHN",0.297050048911695,0.0549248488037191
"2021-08-20","Foreign","DEU",1.62894722968053,2.1388742173379
"2021-08-20","Foreign","FRA",1.22737417091805,2.21259451254537
"2021-08-20","Foreign","GBR",0.470177521122951,0.670042369626559
"2021-08-20","Foreign","ITA",0.557926002522145,0.820643857899628
"2021-08-20","Foreign","LIE",0.175849902062458,0.219427490022779
"2021-08-20","Foreign","NLD",0.469871448803441,0.776595216779813
"2021-08-20","Foreign","RUS",0.148917139598375,0.0861599577459331
"2021-08-20","Foreign","RoW",3.45946437120873,2.77856516989656
"2021-08-20","Foreign","USA",0.765138047568124,0.614879603779754
"2021-08-21","Domestic","CHE",79.8743836187153,132.673827289901
"2021-08-21","Foreign","AUT",0.127000878915767,0.211848132793058
"2021-08-21","Foreign","CHN",0.265287809933957,0.0571340784895123
"2021-08-21","Foreign","DEU",1.69823421541729,2.32924183995524
"2021-08-21","Foreign","FRA",1.11872388593762,1.93181841355556
"2021-08-21","Foreign","GBR",0.404798564223635,0.666915459917436
"2021-08-21","Foreign","ITA",0.501391517099482,0.780333913171156
"2021-08-21","Foreign","LIE",0.195371331583214,0.235503884505551
"2021-08-21","Foreign","NLD",0.43373692881484,0.765073234264677
"2021-08-21","Foreign","RUS",0.148266304667556,0.0871116259182748
"2021-08-21","Foreign","RoW",2.80391041134488,2.69590599149888
