"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1986-07";"FP";
"1986-07";"ET";
"1986-07";"K2";
"1986-07";"T7";"68.0967"
"1986-08";"T0";"0"
"1986-08";"IG";"0"
"1986-08";"T1";"73.3966"
"1986-08";"IW";"50.2146"
"1986-08";"T2";"69.1521"
"1986-08";"IE";"54.2736"
"1986-08";"T3";"68.6357"
"1986-08";"IT";"31.5997"
"1986-08";"T4";"68.3352"
"1986-08";"IAG";"63.6565"
"1986-08";"T5";
"1986-08";"IBS";
"1986-08";"T6";
"1986-08";"IAP";
"1986-08";"K1";
"1986-08";"FP";
"1986-08";"ET";
"1986-08";"K2";
"1986-08";"T7";"68.228"
"1986-09";"T0";"0"
"1986-09";"IG";"0"
"1986-09";"T1";"73.5534"
"1986-09";"IW";"50.2146"
"1986-09";"T2";"69.171"
"1986-09";"IE";"56.5063"
"1986-09";"T3";"68.7556"
"1986-09";"IT";"31.5997"
"1986-09";"T4";"68.4575"
"1986-09";"IAG";"63.6565"
"1986-09";"T5";
"1986-09";"IBS";
"1986-09";"T6";
"1986-09";"IAP";
"1986-09";"K1";
"1986-09";"FP";
"1986-09";"ET";
"1986-09";"K2";
"1986-09";"T7";"68.3467"
"1986-10";"T0";"0"
"1986-10";"IG";"0"
"1986-10";"T1";"73.5755"
"1986-10";"IW";"50.2146"
"1986-10";"T2";"69.2965"
"1986-10";"IE";"54.2296"
"1986-10";"T3";"68.7726"
"1986-10";"IT";"31.5997"
"1986-10";"T4";"68.4747"
"1986-10";"IAG";"63.6565"
"1986-10";"T5";
"1986-10";"IBS";
"1986-10";"T6";
"1986-10";"IAP";
"1986-10";"K1";
"1986-10";"FP";
"1986-10";"ET";
"1986-10";"K2";
"1986-10";"T7";"68.3634"
"1986-11";"T0";"0"
"1986-11";"IG";"0"
"1986-11";"T1";"73.5505"
"1986-11";"IW";"50.9585"
"1986-11";"T2";"69.5234"
"1986-11";"IE";"53.1916"
"1986-11";"T3";"68.9429"
"1986-11";"IT";"31.6577"
"1986-11";"T4";"68.6418"
"1986-11";"IAG";"63.8862"
"1986-11";"T5";
"1986-11";"IBS";
"1986-11";"T6";
"1986-11";"IAP";
"1986-11";"K1";
"1986-11";"FP";
"1986-11";"ET";
"1986-11";"K2";
"1986-11";"T7";"68.5325"
"1986-12";"T0";"0"
"1986-12";"IG";"0"
"1986-12";"T1";"73.7315"
"1986-12";"IW";"50.9585"
"1986-12";"T2";"69.6696"
"1986-12";"IE";"53.1447"
"1986-12";"T3";"69.0814"
"1986-12";"IT";"31.6577"
"1986-12";"T4";"68.7829"
"1986-12";"IAG";"63.8862"
"1986-12";"T5";
"1986-12";"IBS";
"1986-12";"T6";
"1986-12";"IAP";
"1986-12";"K1";
"1986-12";"FP";
"1986-12";"ET";
"1986-12";"K2";
"1986-12";"T7";"68.6694"
"1987-01";"T0";"0"
"1987-01";"IG";"0"
"1987-01";"T1";"74.2566"
"1987-01";"IW";"50.9585"
"1987-01";"T2";"69.89"
"1987-01";"IE";"57.3045"
"1987-01";"T3";"69.4832"
"1987-01";"IT";"31.6577"
"1987-01";"T4";"69.192"
"1987-01";"IAG";"63.8862"
"1987-01";"T5";
"1987-01";"IBS";
"1987-01";"T6";
"1987-01";"IAP";
"1987-01";"K1";
"1987-01";"FP";
"1987-01";"ET";
"1987-01";"K2";
"1987-01";"T7";"69.0667"
"1987-02";"T0";"0"
"1987-02";"IG";"0"
"1987-02";"T1";"74.5244"
"1987-02";"IW";"50.9585"
